Task,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Brier
Task A,Logistic Regression,0.99634886351949,0.9949220489977728,0.998747987837596,0.9968313473468112,0.9996978077060994,0.0024336921855953
Task A,FFNN,0.9956289211148822,0.9933315550813552,0.9991057055982828,0.9962102634981496,0.9997088889920064,0.0028732847217201
Task A,SVM,0.9955774966574102,0.994033837934105,0.9983008406367376,0.9961627699446725,0.9996498573371012,
Task A,Random Forest,0.968528232027152,0.9705306267806268,0.974870327311751,0.9726956366556616,0.9969406993641938,0.0232881882519464
Task A,KNN,0.95700915355343,0.9564143285689076,0.969415131461277,0.9628708473974062,0.9941011847799232,0.0354840417431328
Task B,FFNN,0.6862593849634886,0.6975659071467455,0.8021820783401896,0.7462251986190258,0.7471179025445921,0.200098006583259
Task B,Random Forest,0.6779800473105009,0.7008163265306122,0.7677517438740834,0.7327586206896551,0.7345350050030275,0.2051866745334265
Task B,Logistic Regression,0.6641468682505399,0.6840522358527898,0.7729386514040422,0.7257841037914095,0.7202151213063174,0.2096922638409528
Task B,KNN,0.6678494291885221,0.691726881545831,0.7619388302629225,0.7251372398825482,0.7212520493885989,0.2090217622240366
Task B,SVM,0.6603928828550859,0.6782710280373832,0.7788409944553747,0.7250853384397635,0.716477146016546,
